timestamp,start_date,end_date,bar_id,default_whatever,min_whatever,max_whatever,is_true
2023-03-28T09:31:56.675+0000,,,OSsD2R1S06HQth1EnKbpFareZ2zZ9ZxQ49up,,,,true
2023-03-28T09:31:56.675+0000,,,diXMeDuh15PmVE5deXbPzwwEJv6S3TcSGFrQ,,,,true
2023-03-28T09:31:56.675+0000,,,Qf3ovtCi6s68sfUAWUxMki2uGkL8umCoZ6mc,,,,true
2023-03-28T09:31:56.675+0000,,,TqGbTRBXKj0HgyVnDZ7J2rUfmerpOghQYxWu,,,,true
2023-03-28T09:31:56.675+0000,,,rYT29SUm5RaaTonm45AbEikAlCHp0qrEvJ5v,,,,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,OSsD2R1S06HQth1EnKbpFareZ2zZ9ZxQ49up,,,,true
2023-03-28T09:31:56.675+0000,,,diXMeDuh15PmVE5deXbPzwwEJv6S3TcSGFrQ,,,,true
2023-03-28T09:31:56.675+0000,,,Qf3ovtCi6s68sfUAWUxMki2uGkL8umCoZ6mc,,,,true
2023-03-28T09:31:56.675+0000,,,TqGbTRBXKj0HgyVnDZ7J2rUfmerpOghQYxWu,,,,true
2023-03-28T09:31:56.675+0000,,,rYT29SUm5RaaTonm45AbEikAlCHp0qrEvJ5v,,,,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,OSsD2R1S06HQth1EnKbpFareZ2zZ9ZxQ49up,,,,true
2023-03-28T09:31:56.675+0000,,,diXMeDuh15PmVE5deXbPzwwEJv6S3TcSGFrQ,,,,true
2023-03-28T09:31:56.675+0000,,,Qf3ovtCi6s68sfUAWUxMki2uGkL8umCoZ6mc,,,,true
2023-03-28T09:31:56.675+0000,,,TqGbTRBXKj0HgyVnDZ7J2rUfmerpOghQYxWu,,,,true
2023-03-28T09:31:56.675+0000,,,rYT29SUm5RaaTonm45AbEikAlCHp0qrEvJ5v,,,,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,OSsD2R1S06HQth1EnKbpFareZ2zZ9ZxQ49up,,,,true
2023-03-28T09:31:56.675+0000,,,diXMeDuh15PmVE5deXbPzwwEJv6S3TcSGFrQ,,,,true
2023-03-28T09:31:56.675+0000,,,Qf3ovtCi6s68sfUAWUxMki2uGkL8umCoZ6mc,,,,true
2023-03-28T09:31:56.675+0000,,,TqGbTRBXKj0HgyVnDZ7J2rUfmerpOghQYxWu,,,,true
2023-03-28T09:31:56.675+0000,,,rYT29SUm5RaaTonm45AbEikAlCHp0qrEvJ5v,,,,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,OSsD2R1S06HQth1EnKbpFareZ2zZ9ZxQ49up,29900.0,29900.0,29900.0,true
2023-03-28T09:31:56.675+0000,,,diXMeDuh15PmVE5deXbPzwwEJv6S3TcSGFrQ,,,,true
2023-03-28T09:31:56.675+0000,,,Qf3ovtCi6s68sfUAWUxMki2uGkL8umCoZ6mc,,,,true
2023-03-28T09:31:56.675+0000,,,TqGbTRBXKj0HgyVnDZ7J2rUfmerpOghQYxWu,,,,true
2023-03-28T09:31:56.675+0000,,,rYT29SUm5RaaTonm45AbEikAlCHp0qrEvJ5v,,,,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,OSsD2R1S06HQth1EnKbpFareZ2zZ9ZxQ49up,29900.0,29900.0,29900.0,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,diXMeDuh15PmVE5deXbPzwwEJv6S3TcSGFrQ,,,,true
2023-03-28T09:31:56.675+0000,,,Qf3ovtCi6s68sfUAWUxMki2uGkL8umCoZ6mc,,,,true
2023-03-28T09:31:56.675+0000,,,TqGbTRBXKj0HgyVnDZ7J2rUfmerpOghQYxWu,,,,true
2023-03-28T09:31:56.675+0000,,,rYT29SUm5RaaTonm45AbEikAlCHp0qrEvJ5v,,,,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,OSsD2R1S06HQth1EnKbpFareZ2zZ9ZxQ49up,29900.0,29900.0,29900.0,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,diXMeDuh15PmVE5deXbPzwwEJv6S3TcSGFrQ,,,,true
2023-03-28T09:31:56.675+0000,,,Qf3ovtCi6s68sfUAWUxMki2uGkL8umCoZ6mc,,,,true
2023-03-28T09:31:56.675+0000,,,TqGbTRBXKj0HgyVnDZ7J2rUfmerpOghQYxWu,,,,true
2023-03-28T09:31:56.675+0000,,,rYT29SUm5RaaTonm45AbEikAlCHp0qrEvJ5v,,,,true
2023-03-28T09:31:56.675+0000,2023-11-14T19:00:00.000+0000,2023-11-14T19:00:00.000+0000,OSsD2R1S06HQth1EnKbpFareZ2zZ9ZxQ49up,29900.0,29900.0,29900.0,true
